  600 to run, 1 concurrent
  10/600  0.8m elapsed, ~0.7h left
  20/600  1.1m elapsed, ~0.5h left
  30/600  1.9m elapsed, ~0.6h left
  40/600  2.3m elapsed, ~0.5h left
  50/600  2.7m elapsed, ~0.5h left
  60/600  2.9m elapsed, ~0.4h left
  70/600  3.1m elapsed, ~0.4h left
  80/600  3.3m elapsed, ~0.4h left
  90/600  3.4m elapsed, ~0.3h left
  100/600  3.7m elapsed, ~0.3h left
  110/600  4.5m elapsed, ~0.3h left
  120/600  5.4m elapsed, ~0.4h left
  130/600  6.4m elapsed, ~0.4h left
  140/600  7.1m elapsed, ~0.4h left
  150/600  8.0m elapsed, ~0.4h left
  160/600  8.5m elapsed, ~0.4h left
  170/600  8.9m elapsed, ~0.4h left
  180/600  9.4m elapsed, ~0.4h left
  190/600  9.8m elapsed, ~0.4h left
  200/600  10.1m elapsed, ~0.3h left
  210/600  10.6m elapsed, ~0.3h left
  220/600  10.9m elapsed, ~0.3h left
  230/600  11.4m elapsed, ~0.3h left
  240/600  11.7m elapsed, ~0.3h left
  250/600  11.9m elapsed, ~0.3h left
  260/600  12.0m elapsed, ~0.3h left
  270/600  12.2m elapsed, ~0.2h left
  280/600  12.3m elapsed, ~0.2h left
  290/600  12.3m elapsed, ~0.2h left
  300/600  12.4m elapsed, ~0.2h left
  310/600  12.5m elapsed, ~0.2h left
  320/600  12.6m elapsed, ~0.2h left
  330/600  12.6m elapsed, ~0.2h left
  340/600  12.7m elapsed, ~0.2h left
  350/600  12.8m elapsed, ~0.2h left
  360/600  13.5m elapsed, ~0.1h left
  370/600  13.6m elapsed, ~0.1h left
  380/600  13.7m elapsed, ~0.1h left
  390/600  13.8m elapsed, ~0.1h left
  400/600  14.0m elapsed, ~0.1h left
  410/600  15.1m elapsed, ~0.1h left
  420/600  15.2m elapsed, ~0.1h left
  430/600  15.3m elapsed, ~0.1h left
  440/600  15.4m elapsed, ~0.1h left
  450/600  15.4m elapsed, ~0.1h left
  460/600  16.6m elapsed, ~0.1h left
  470/600  17.8m elapsed, ~0.1h left
  480/600  18.8m elapsed, ~0.1h left
  490/600  20.1m elapsed, ~0.1h left
  500/600  21.6m elapsed, ~0.1h left
  510/600  22.1m elapsed, ~0.1h left
  520/600  22.5m elapsed, ~0.1h left
  530/600  22.9m elapsed, ~0.1h left
  540/600  23.3m elapsed, ~0.0h left
  550/600  23.7m elapsed, ~0.0h left
  560/600  23.7m elapsed, ~0.0h left
  570/600  23.8m elapsed, ~0.0h left
  580/600  23.8m elapsed, ~0.0h left
  590/600  23.9m elapsed, ~0.0h left
  600/600  23.9m elapsed, ~0.0h left
saved -> /Volumes/Store/Developer/AER/local-ai-benchmarks/results/mac/b_dsvl2.json
