  600 to run, 1 concurrent
  10/600  1.0m elapsed, ~1.0h left
  20/600  1.7m elapsed, ~0.8h left
  30/600  2.9m elapsed, ~0.9h left
  40/600  3.8m elapsed, ~0.9h left
  50/600  4.3m elapsed, ~0.8h left
  60/600  4.9m elapsed, ~0.7h left
  70/600  5.1m elapsed, ~0.6h left
  80/600  5.6m elapsed, ~0.6h left
  90/600  5.9m elapsed, ~0.6h left
  100/600  6.3m elapsed, ~0.5h left
  110/600  6.4m elapsed, ~0.5h left
  120/600  7.1m elapsed, ~0.5h left
  130/600  7.6m elapsed, ~0.5h left
  140/600  7.8m elapsed, ~0.4h left
  150/600  8.4m elapsed, ~0.4h left
  160/600  8.8m elapsed, ~0.4h left
  170/600  9.1m elapsed, ~0.4h left
  180/600  9.6m elapsed, ~0.4h left
  190/600  9.9m elapsed, ~0.4h left
  200/600  10.4m elapsed, ~0.3h left
  210/600  10.9m elapsed, ~0.3h left
  220/600  11.6m elapsed, ~0.3h left
  230/600  12.6m elapsed, ~0.3h left
  240/600  13.2m elapsed, ~0.3h left
  250/600  13.7m elapsed, ~0.3h left
  260/600  13.7m elapsed, ~0.3h left
  270/600  13.8m elapsed, ~0.3h left
  280/600  13.8m elapsed, ~0.3h left
  290/600  13.9m elapsed, ~0.2h left
  300/600  14.0m elapsed, ~0.2h left
  310/600  14.0m elapsed, ~0.2h left
  320/600  14.1m elapsed, ~0.2h left
  330/600  14.1m elapsed, ~0.2h left
  340/600  14.2m elapsed, ~0.2h left
  350/600  14.3m elapsed, ~0.2h left
  360/600  14.9m elapsed, ~0.2h left
  370/600  14.9m elapsed, ~0.2h left
  380/600  15.0m elapsed, ~0.1h left
  390/600  15.1m elapsed, ~0.1h left
  400/600  15.2m elapsed, ~0.1h left
  410/600  16.3m elapsed, ~0.1h left
  420/600  16.4m elapsed, ~0.1h left
  430/600  16.5m elapsed, ~0.1h left
  440/600  16.6m elapsed, ~0.1h left
  450/600  16.6m elapsed, ~0.1h left
  460/600  17.4m elapsed, ~0.1h left
  470/600  18.4m elapsed, ~0.1h left
  480/600  19.2m elapsed, ~0.1h left
  490/600  20.2m elapsed, ~0.1h left
  500/600  21.6m elapsed, ~0.1h left
  510/600  22.3m elapsed, ~0.1h left
  520/600  23.2m elapsed, ~0.1h left
  530/600  23.9m elapsed, ~0.1h left
  540/600  24.7m elapsed, ~0.0h left
  550/600  25.6m elapsed, ~0.0h left
  560/600  25.6m elapsed, ~0.0h left
  570/600  25.7m elapsed, ~0.0h left
  580/600  25.7m elapsed, ~0.0h left
  590/600  25.8m elapsed, ~0.0h left
  600/600  25.9m elapsed, ~0.0h left
saved -> /Volumes/Store/Developer/AER/local-ai-benchmarks/results/mac/b_dsvl2.json
