  600 to run, 1 concurrent
  10/600  0.4m elapsed, ~0.4h left
  20/600  0.7m elapsed, ~0.3h left
  30/600  1.0m elapsed, ~0.3h left
  40/600  1.3m elapsed, ~0.3h left
  50/600  1.6m elapsed, ~0.3h left
  60/600  1.8m elapsed, ~0.3h left
  70/600  2.0m elapsed, ~0.2h left
  80/600  2.1m elapsed, ~0.2h left
  90/600  2.3m elapsed, ~0.2h left
  100/600  2.5m elapsed, ~0.2h left
  110/600  2.6m elapsed, ~0.2h left
  120/600  2.8m elapsed, ~0.2h left
  130/600  2.9m elapsed, ~0.2h left
  140/600  3.1m elapsed, ~0.2h left
  150/600  3.3m elapsed, ~0.2h left
  160/600  3.5m elapsed, ~0.2h left
  170/600  3.8m elapsed, ~0.2h left
  180/600  4.0m elapsed, ~0.2h left
  190/600  4.3m elapsed, ~0.2h left
  200/600  4.5m elapsed, ~0.1h left
  210/600  4.7m elapsed, ~0.1h left
  220/600  4.9m elapsed, ~0.1h left
  230/600  5.1m elapsed, ~0.1h left
  240/600  5.4m elapsed, ~0.1h left
  250/600  5.5m elapsed, ~0.1h left
  260/600  5.6m elapsed, ~0.1h left
  270/600  5.7m elapsed, ~0.1h left
  280/600  5.7m elapsed, ~0.1h left
  290/600  5.8m elapsed, ~0.1h left
  300/600  5.8m elapsed, ~0.1h left
  310/600  5.9m elapsed, ~0.1h left
  320/600  6.0m elapsed, ~0.1h left
  330/600  6.0m elapsed, ~0.1h left
  340/600  6.0m elapsed, ~0.1h left
  350/600  6.1m elapsed, ~0.1h left
  360/600  6.2m elapsed, ~0.1h left
  370/600  6.3m elapsed, ~0.1h left
  380/600  6.4m elapsed, ~0.1h left
  390/600  6.4m elapsed, ~0.1h left
  400/600  6.5m elapsed, ~0.1h left
  410/600  6.8m elapsed, ~0.1h left
  420/600  6.9m elapsed, ~0.0h left
  430/600  6.9m elapsed, ~0.0h left
  440/600  7.0m elapsed, ~0.0h left
  450/600  7.1m elapsed, ~0.0h left
  460/600  8.0m elapsed, ~0.0h left
  470/600  9.1m elapsed, ~0.0h left
  480/600  10.5m elapsed, ~0.0h left
  490/600  11.7m elapsed, ~0.0h left
  500/600  13.2m elapsed, ~0.0h left
  510/600  13.7m elapsed, ~0.0h left
  520/600  14.3m elapsed, ~0.0h left
  530/600  15.0m elapsed, ~0.0h left
  540/600  15.6m elapsed, ~0.0h left
  550/600  16.1m elapsed, ~0.0h left
  560/600  16.2m elapsed, ~0.0h left
  570/600  16.3m elapsed, ~0.0h left
  580/600  16.3m elapsed, ~0.0h left
  590/600  16.4m elapsed, ~0.0h left
  600/600  16.4m elapsed, ~0.0h left
saved -> /Volumes/Store/Developer/AER/local-ai-benchmarks/results/mac/b_gemma26.json
