  600 to run, 1 concurrent
  10/600  52.4m elapsed, ~51.5h left
  20/600  76.6m elapsed, ~37.0h left
  30/600  151.6m elapsed, ~48.0h left
  40/600  175.0m elapsed, ~40.8h left
  50/600  245.4m elapsed, ~45.0h left
  60/600  271.9m elapsed, ~40.8h left
  70/600  325.9m elapsed, ~41.1h left
  80/600  339.8m elapsed, ~36.8h left
  90/600  349.6m elapsed, ~33.0h left
  100/600  372.5m elapsed, ~31.0h left
  110/600  388.6m elapsed, ~28.8h left
  120/600  407.4m elapsed, ~27.2h left
  130/600  425.3m elapsed, ~25.6h left
  140/600  448.9m elapsed, ~24.6h left
  150/600  472.8m elapsed, ~23.6h left
  160/600  506.5m elapsed, ~23.2h left
  170/600  528.1m elapsed, ~22.3h left
  180/600  552.3m elapsed, ~21.5h left
  190/600  579.1m elapsed, ~20.8h left
  200/600  610.0m elapsed, ~20.3h left
  210/600  661.0m elapsed, ~20.5h left
  220/600  724.5m elapsed, ~20.9h left
  230/600  765.6m elapsed, ~20.5h left
  240/600  794.2m elapsed, ~19.9h left
  250/600  888.1m elapsed, ~20.7h left
  260/600  916.6m elapsed, ~20.0h left
  270/600  924.1m elapsed, ~18.8h left
  280/600  930.2m elapsed, ~17.7h left
  290/600  957.4m elapsed, ~17.1h left
  300/600  970.7m elapsed, ~16.2h left
  310/600  972.3m elapsed, ~15.2h left
  320/600  977.3m elapsed, ~14.3h left
  330/600  980.8m elapsed, ~13.4h left
  340/600  991.7m elapsed, ~12.6h left
  350/600  993.3m elapsed, ~11.8h left
  360/600  995.7m elapsed, ~11.1h left
  370/600  998.4m elapsed, ~10.3h left
  380/600  1004.0m elapsed, ~9.7h left
  390/600  1010.8m elapsed, ~9.1h left
  400/600  1056.6m elapsed, ~8.8h left
  410/600  1060.2m elapsed, ~8.2h left
  420/600  1064.5m elapsed, ~7.6h left
  430/600  1080.5m elapsed, ~7.1h left
  440/600  1085.3m elapsed, ~6.6h left
  450/600  1091.6m elapsed, ~6.1h left
  460/600  1097.7m elapsed, ~5.6h left
  470/600  1103.8m elapsed, ~5.1h left
  480/600  1107.8m elapsed, ~4.6h left
  490/600  1121.8m elapsed, ~4.2h left
  500/600  1133.9m elapsed, ~3.8h left
  510/600  1138.0m elapsed, ~3.3h left
  520/600  1148.3m elapsed, ~2.9h left
  530/600  1163.5m elapsed, ~2.6h left
  540/600  1169.6m elapsed, ~2.2h left
  550/600  1175.6m elapsed, ~1.8h left
  560/600  1177.4m elapsed, ~1.4h left
  570/600  1181.0m elapsed, ~1.0h left
  580/600  1182.7m elapsed, ~0.7h left
  590/600  1184.6m elapsed, ~0.3h left
  600/600  1186.4m elapsed, ~0.0h left
saved -> /Volumes/Store/Developer/AER/local-ai-benchmarks/results/mac/t_q38.json
