  600 to run, 1 concurrent
  10/600  1.1m elapsed, ~1.1h left
  20/600  1.8m elapsed, ~0.9h left
  30/600  2.7m elapsed, ~0.9h left
  40/600  3.4m elapsed, ~0.8h left
  50/600  4.3m elapsed, ~0.8h left
  60/600  5.1m elapsed, ~0.8h left
  70/600  6.4m elapsed, ~0.8h left
  80/600  7.1m elapsed, ~0.8h left
  90/600  7.8m elapsed, ~0.7h left
  100/600  8.6m elapsed, ~0.7h left
  110/600  9.3m elapsed, ~0.7h left
  120/600  10.1m elapsed, ~0.7h left
  130/600  10.8m elapsed, ~0.7h left
  140/600  11.8m elapsed, ~0.6h left
  150/600  12.5m elapsed, ~0.6h left
  160/600  13.3m elapsed, ~0.6h left
  170/600  14.0m elapsed, ~0.6h left
  180/600  14.7m elapsed, ~0.6h left
  190/600  15.5m elapsed, ~0.6h left
  200/600  16.3m elapsed, ~0.5h left
  210/600  17.1m elapsed, ~0.5h left
  220/600  17.9m elapsed, ~0.5h left
  230/600  18.6m elapsed, ~0.5h left
  240/600  19.3m elapsed, ~0.5h left
  250/600  20.1m elapsed, ~0.5h left
  260/600  20.6m elapsed, ~0.4h left
  270/600  21.1m elapsed, ~0.4h left
  280/600  21.6m elapsed, ~0.4h left
  290/600  22.1m elapsed, ~0.4h left
  300/600  22.7m elapsed, ~0.4h left
  310/600  23.2m elapsed, ~0.4h left
  320/600  23.6m elapsed, ~0.3h left
  330/600  24.2m elapsed, ~0.3h left
  340/600  24.6m elapsed, ~0.3h left
  350/600  25.1m elapsed, ~0.3h left
  360/600  25.8m elapsed, ~0.3h left
  370/600  26.5m elapsed, ~0.3h left
  380/600  27.0m elapsed, ~0.3h left
  390/600  27.6m elapsed, ~0.2h left
  400/600  28.2m elapsed, ~0.2h left
  410/600  28.9m elapsed, ~0.2h left
  420/600  29.5m elapsed, ~0.2h left
  430/600  30.0m elapsed, ~0.2h left
  440/600  30.5m elapsed, ~0.2h left
  450/600  31.0m elapsed, ~0.2h left
  460/600  32.1m elapsed, ~0.2h left
  470/600  33.4m elapsed, ~0.2h left
  480/600  34.4m elapsed, ~0.1h left
  490/600  35.6m elapsed, ~0.1h left
  500/600  36.7m elapsed, ~0.1h left
  510/600  37.5m elapsed, ~0.1h left
  520/600  38.4m elapsed, ~0.1h left
  530/600  39.4m elapsed, ~0.1h left
  540/600  40.3m elapsed, ~0.1h left
  550/600  41.0m elapsed, ~0.1h left
  560/600  42.0m elapsed, ~0.0h left
  570/600  42.9m elapsed, ~0.0h left
  580/600  43.5m elapsed, ~0.0h left
  590/600  44.2m elapsed, ~0.0h left
  600/600  45.0m elapsed, ~0.0h left
saved -> /Volumes/Store/Developer/AER/local-ai-benchmarks/results/mac/t_qcn.json
